route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1998130,000001,OCESN13100F290738:2021-03-17T18:49:45Z,13100,0,1,
OCESN-1998130,000002,OCESN13100F291544:2021-03-18T18:51:14Z,13100,0,2,
OCESN-1998130,000003,OCESN13101F293861:2021-03-18T18:51:14Z,13101,1,3,
OCESN-1998130,000003,OCESN13102F294089:2021-03-18T18:51:14Z,13102,0,4,
OCESN-1998130,000004,OCESN13103F270470:2021-03-18T18:51:14Z,13103,1,5,
OCESN-1998130,000005,OCESN13103F290920:2021-03-18T18:51:14Z,13103,1,6,
OCESN-1998130,000006,OCESN13103F290943:2021-03-18T18:51:14Z,13103,1,7,
OCESN-1998130,000003,OCESN13103F294094:2021-03-18T18:51:14Z,13103,1,8,
OCESN-1998130,000007,OCESN13104F290924:2021-03-18T18:51:14Z,13104,0,9,
OCESN-1998130,000008,OCESN13104F290952:2021-03-17T18:49:45Z,13104,0,10,
OCESN-1998130,000003,OCESN13105F289919:2021-03-16T18:50:15Z,13105,1,11,
OCESN-1998130,000003,OCESN13106F294186:2021-03-18T18:51:14Z,13106,0,12,
OCESN-1998130,000009,OCESN13107F183817:2021-03-16T18:50:15Z,13107,1,13,
OCESN-1998130,000006,OCESN13107F274944:2021-03-18T18:51:14Z,13107,1,14,
OCESN-1998130,000010,OCESN13107F276591:2021-03-18T18:51:14Z,13107,1,15,
OCESN-1998130,000011,OCESN13107F285798:2021-03-18T18:51:14Z,13107,1,16,
OCESN-1998130,000005,OCESN13107F290961:2021-03-18T18:51:14Z,13107,1,17,
OCESN-1998130,000012,OCESN13107F293734:2021-03-18T18:51:14Z,13107,1,18,
OCESN-1998130,000009,OCESN13108F199455:2021-03-18T18:51:14Z,13108,0,19,
OCESN-1998130,000013,OCESN13108F263254:2021-03-18T18:51:14Z,13108,0,20,
OCESN-1998130,000010,OCESN13108F279182:2021-03-17T18:49:45Z,13108,0,21,
OCESN-1998130,000014,OCESN13108F287327:2021-03-18T18:51:14Z,13108,0,22,
OCESN-1998130,000015,OCESN13108F290893:2021-03-18T18:51:14Z,13108,0,23,
OCESN-1998130,000006,OCESN13108F290996:2021-03-17T18:49:45Z,13108,0,24,
OCESN-1998130,000016,OCESN13108F291006:2021-03-16T18:50:15Z,13108,0,25,
OCESN-1998130,000017,OCESN13108F293239:2021-03-18T18:51:14Z,13108,0,26,
OCESN-1998130,000018,OCESN13108F294476:2021-03-18T18:51:14Z,13108,0,27,
OCESN-1998130,000003,OCESN13110F287553:2021-03-16T18:50:15Z,13110,0,28,
OCESN-1998130,000019,OCESN13111F283900:2021-03-17T18:49:45Z,13111,1,29,
OCESN-1998130,000020,OCESN13111F290950:2021-03-17T18:49:45Z,13111,1,30,
OCESN-1998130,000017,OCESN13111F290978:2021-03-17T18:49:45Z,13111,1,31,
OCESN-1998130,000021,OCESN13111F294086:2021-03-18T18:51:14Z,13111,1,32,
OCESN-1998130,000022,OCESN13111F294378:2021-03-18T18:51:14Z,13111,1,33,
OCESN-1998130,000006,OCESN13112F175415:2021-03-18T18:51:14Z,13112,0,34,
OCESN-1998130,000023,OCESN13112F180150:2021-03-17T18:49:45Z,13112,0,35,
OCESN-1998130,000020,OCESN13112F273125:2021-03-17T18:49:45Z,13112,0,36,
OCESN-1998130,000002,OCESN13112F285542:2021-03-18T18:51:14Z,13112,0,37,
OCESN-1998130,000024,OCESN13112F290947:2021-03-18T18:51:14Z,13112,0,38,
OCESN-1998130,000003,OCESN13112F292021:2021-03-17T18:49:45Z,13112,0,39,
OCESN-1998130,000005,OCESN13113F291217:2021-03-18T18:51:14Z,13113,1,40,
OCESN-1998130,000025,OCESN13113F291446:2021-03-16T18:50:15Z,13113,1,41,
OCESN-1998130,000006,OCESN13113F291557:2021-03-18T18:51:14Z,13113,1,42,
OCESN-1998130,000020,OCESN13113F293423:2021-03-18T18:51:14Z,13113,1,43,
OCESN-1998130,000026,OCESN13113F293577:2021-03-17T18:49:45Z,13113,1,44,
OCESN-1998130,000027,OCESN13114F285626:2021-03-16T18:50:15Z,13114,0,45,
OCESN-1998130,000006,OCESN13114F290819:2021-03-16T18:50:15Z,13114,0,46,
OCESN-1998130,000028,OCESN13114F292004:2021-03-18T18:51:14Z,13114,0,47,
OCESN-1998130,000005,OCESN13114F293398:2021-03-18T18:51:14Z,13114,0,48,
OCESN-1998130,000020,OCESN13115F287462:2021-03-17T18:49:45Z,13115,1,49,
OCESN-1998130,000003,OCESN13115F292015:2021-03-18T18:51:14Z,13115,1,50,
OCESN-1998130,000002,OCESN13115F295426:2021-03-18T18:51:14Z,13115,1,51,
OCESN-1998130,000020,OCESN13116F287550:2021-03-17T18:49:45Z,13116,0,52,
OCESN-1998130,000006,OCESN13116F291035:2021-03-18T18:51:14Z,13116,0,53,
OCESN-1998130,000028,OCESN13116F292057:2021-03-17T18:49:45Z,13116,0,54,
OCESN-1998130,000027,OCESN13116F294389:2021-03-18T18:51:14Z,13116,0,55,
OCESN-1998130,000029,OCESN13116F295481:2021-03-18T18:51:14Z,13116,0,56,
OCESN-1998130,000030,OCESN13118F290724:2021-03-18T18:51:14Z,13118,0,57,
OCESN-1998130,000006,OCESN13118F290741:2021-03-16T18:50:15Z,13118,0,58,
OCESN-1998130,000031,OCESN13118F290852:2021-03-17T18:49:45Z,13118,0,59,
OCESN-1998130,000025,OCESN13118F290926:2021-03-18T18:51:14Z,13118,0,60,
OCESN-1998130,000005,OCESN13118F291134:2021-03-18T18:51:14Z,13118,0,61,
OCESN-1998130,000032,OCESN13119F156724:2021-03-17T18:49:45Z,13119,1,62,
OCESN-1998130,000014,OCESN13119F285057:2021-03-18T18:51:14Z,13119,1,63,
OCESN-1998130,000033,OCESN13119F293337:2021-03-18T18:51:14Z,13119,1,64,
OCESN-1998130,000034,OCESN13119F294033:2021-03-18T18:51:14Z,13119,1,65,
OCESN-1998130,000035,OCESN13120F276625:2021-03-14T18:50:44Z,13120,0,66,
OCESN-1998130,000006,OCESN13120F283805:2021-03-18T18:51:14Z,13120,0,67,
OCESN-1998130,000020,OCESN13120F290946:2021-03-18T18:51:14Z,13120,0,68,
OCESN-1998130,000036,OCESN13120F291101:2021-03-18T18:51:14Z,13120,0,69,
OCESN-1998130,000012,OCESN13120F293983:2021-03-18T18:51:14Z,13120,0,70,
OCESN-1998130,000017,OCESN13120F295437:2021-03-18T18:51:14Z,13120,0,71,
OCESN-1998130,000018,OCESN13121F290922:2021-03-18T18:51:14Z,13121,1,72,
OCESN-1998130,000037,OCESN13122F157732:2021-03-17T18:49:45Z,13122,0,73,
OCESN-1998130,000032,OCESN13122F260025:2021-03-18T18:51:14Z,13122,0,74,
OCESN-1998130,000006,OCESN13122F260051:2021-03-16T18:50:15Z,13122,0,75,
OCESN-1998130,000010,OCESN13122F275342:2021-03-14T18:50:44Z,13122,0,76,
OCESN-1998130,000038,OCESN13122F279435:2021-03-16T18:50:15Z,13122,0,77,
OCESN-1998130,000017,OCESN13122F291193:2021-03-16T18:50:15Z,13122,0,78,
OCESN-1998130,000016,OCESN13122F291553:2021-03-18T18:51:14Z,13122,0,79,
OCESN-1998130,000039,OCESN13122F294115:2021-03-18T18:51:14Z,13122,0,80,
OCESN-1998130,000006,OCESN13123F270529:2021-03-16T18:50:15Z,13123,1,81,
OCESN-1998130,000016,OCESN13123F279112:2021-03-17T18:49:45Z,13123,1,82,
OCESN-1998130,000013,OCESN13123F283256:2021-03-18T18:51:14Z,13123,1,83,
OCESN-1998130,000003,OCESN13123F289276:2021-03-18T18:51:14Z,13123,1,84,
OCESN-1998130,000040,OCESN13123F291281:2021-03-18T18:51:14Z,13123,1,85,
OCESN-1998130,000023,OCESN13123F293281:2021-03-17T18:49:45Z,13123,1,86,
OCESN-1998130,000041,OCESN13124F293300:2021-03-18T18:51:14Z,13124,0,87,
OCESN-1998130,000003,OCESN13126F290138:2021-03-16T18:50:15Z,13126,0,88,
OCESN-1998130,000042,OCESN13127F291003:2021-03-18T18:51:14Z,13127,1,89,
OCESN-1998130,000006,OCESN13127F291030:2021-03-17T18:49:45Z,13127,1,90,
OCESN-1998130,000001,OCESN13128F263163:2021-03-16T18:50:15Z,13128,0,91,
OCESN-1998130,000043,OCESN13128F272475:2021-03-18T18:51:14Z,13128,0,92,
OCESN-1998130,000044,OCESN13128F290875:2021-03-18T18:51:14Z,13128,0,93,
OCESN-1998130,000014,OCESN13128F291097:2021-03-17T18:49:45Z,13128,0,94,
OCESN-1998130,000006,OCESN13128F291157:2021-03-18T18:51:14Z,13128,0,95,
OCESN-1998130,000005,OCESN13128F291158:2021-03-18T18:51:14Z,13128,0,96,
OCESN-1998130,000003,OCESN13129F294367:2021-03-18T18:51:14Z,13129,1,97,
OCESN-1998130,000006,OCESN13130F285107:2021-03-18T18:51:14Z,13130,0,98,
OCESN-1998130,000045,OCESN13130F291188:2021-03-18T18:51:14Z,13130,0,99,
OCESN-1998130,000040,OCESN13130F291879:2021-03-17T18:49:45Z,13130,0,100,
OCESN-1998130,000003,OCESN13130F294098:2021-03-18T18:51:14Z,13130,0,101,
OCESN-1998130,000023,OCESN13131F283018:2021-03-18T18:51:14Z,13131,1,102,
OCESN-1998130,000013,OCESN13131F286841:2021-03-16T18:50:15Z,13131,1,103,
OCESN-1998130,000046,OCESN13131F289668:2021-03-18T18:51:14Z,13131,1,104,
OCESN-1998130,000016,OCESN13131F290980:2021-03-18T18:51:14Z,13131,1,105,
OCESN-1998130,000047,OCESN13131F292274:2021-03-17T18:49:45Z,13131,1,106,
OCESN-1998130,000001,OCESN13131F293244:2021-03-18T18:51:14Z,13131,1,107,
OCESN-1998130,000014,OCESN13132F270479:2021-03-18T18:51:14Z,13132,0,108,
OCESN-1998130,000003,OCESN13132F283790:2021-03-16T18:50:15Z,13132,0,109,
OCESN-1998130,000048,OCESN13132F293305:2021-03-18T18:51:14Z,13132,0,110,
OCESN-1998130,000049,OCESN13132F294131:2021-03-18T18:51:14Z,13132,0,111,
OCESN-1998130,000012,OCESN13133F287557:2021-03-16T18:50:15Z,13133,1,112,
OCESN-1998130,000003,OCESN13134F294396:2021-03-18T18:51:14Z,13134,0,113,
OCESN-1998130,000006,OCESN13135F290713:2021-03-18T18:51:14Z,13135,1,114,
OCESN-1998130,000001,OCESN13135F291064:2021-03-18T18:51:14Z,13135,1,115,
OCESN-1998130,000040,OCESN13135F293349:2021-03-18T18:51:14Z,13135,1,116,
OCESN-1998130,000005,OCESN13135F293361:2021-03-18T18:51:14Z,13135,1,117,
OCESN-1998130,000041,OCESN13136F268846:2021-03-17T18:49:45Z,13136,0,118,
OCESN-1998130,000001,OCESN13136F290957:2021-03-18T18:51:14Z,13136,0,119,
OCESN-1998130,000014,OCESN13136F290993:2021-03-18T18:51:14Z,13136,0,120,
OCESN-1998130,000049,OCESN13136F291819:2021-03-18T18:51:14Z,13136,0,121,
OCESN-1998130,000041,OCESN13137F156707:2021-03-18T18:51:14Z,13137,1,122,
OCESN-1998130,000014,OCESN13137F270558:2021-03-17T18:49:45Z,13137,1,123,
OCESN-1998130,000050,OCESN13137F283727:2021-03-18T18:51:14Z,13137,1,124,
OCESN-1998130,000016,OCESN13137F291011:2021-03-16T18:50:15Z,13137,1,125,
OCESN-1998130,000002,OCESN13137F293287:2021-03-17T18:49:45Z,13137,1,126,
OCESN-1998130,000040,OCESN13138F276505:2021-03-17T18:49:45Z,13138,0,127,
OCESN-1998130,000003,OCESN13138F292074:2021-03-17T18:49:45Z,13138,0,128,
OCESN-1998130,000051,OCESN13139F290877:2021-03-18T18:51:14Z,13139,1,129,
OCESN-1998130,000052,OCESN13139F290994:2021-03-17T18:49:45Z,13139,1,130,
OCESN-1998130,000020,OCESN13139F293370:2021-03-18T18:51:14Z,13139,1,131,
OCESN-1998130,000006,OCESN13141F290850:2021-03-17T18:49:45Z,13141,1,132,
OCESN-1998130,000053,OCESN13141F291225:2021-03-18T18:51:14Z,13141,1,133,
OCESN-1998130,000005,OCESN13141F293393:2021-03-18T18:51:14Z,13141,1,134,
OCESN-1209988,000054,OCESN14030F287775:2021-03-18T18:51:14Z,14030,0,135,
OCESN-1209988,000055,OCESN14030F292295:2021-03-18T18:51:14Z,14030,0,136,
OCESN-1209988,000056,OCESN14030F294137:2021-03-18T18:51:14Z,14030,0,137,
OCESN-1209988,000057,OCESN14031F285715:2021-03-16T18:50:15Z,14031,1,138,
OCESN-1209988,000057,OCESN14032F289744:2021-03-18T18:51:14Z,14032,0,139,
OCESN-1209988,000058,OCESN14033F108783:2021-03-17T18:49:45Z,14033,1,140,
OCESN-1209988,000059,OCESN14033F201290:2021-03-18T18:51:14Z,14033,1,141,
OCESN-1209988,000057,OCESN14033F283883:2021-03-18T18:51:14Z,14033,1,142,
OCESN-1209988,000060,OCESN14033F289248:2021-03-16T18:50:15Z,14033,1,143,
OCESN-1209988,000061,OCESN14033F293388:2021-03-18T18:51:14Z,14033,1,144,
OCESN-1209988,000062,OCESN14034F155968:2021-03-18T18:51:14Z,14034,0,145,
OCESN-1209988,000063,OCESN14034F292072:2021-03-18T18:51:14Z,14034,0,146,
OCESN-1209988,000057,OCESN14035F291699:2021-03-17T18:49:45Z,14035,1,147,
OCESN-1209988,000057,OCESN14036F285678:2021-03-17T18:49:45Z,14036,0,148,
OCESN-1209988,000064,OCESN14037F224029:2021-03-16T18:50:15Z,14037,1,149,
OCESN-1209988,000065,OCESN14037F294166:2021-03-18T18:51:14Z,14037,1,150,
OCESN-1209988,000066,OCESN14038F278528:2021-03-17T18:49:45Z,14038,0,151,
OCESN-1209988,000067,OCESN14038F292181:2021-03-17T18:49:45Z,14038,0,152,
OCESN-1209988,000057,OCESN14040F294142:2021-03-18T18:51:14Z,14040,0,153,
OCESN-1209988,000058,OCESN14041F110217:2021-03-17T18:49:45Z,14041,1,154,
OCESN-1209988,000059,OCESN14041F201347:2021-03-15T18:51:43Z,14041,1,155,
OCESN-1209988,000068,OCESN14041F265162:2021-03-18T18:51:14Z,14041,1,156,
OCESN-1209988,000069,OCESN14041F294148:2021-03-18T18:51:14Z,14041,1,157,
OCESN-1209988,000070,OCESN14041F295436:2021-03-18T18:51:14Z,14041,1,158,
OCESN-1209988,000071,OCESN14043F295408:2021-03-18T18:51:14Z,14043,1,159,
OCESN-1209988,000072,OCESN14044F292005:2021-03-17T18:49:45Z,14044,0,160,
OCESN-1209988,000066,OCESN14045F278682:2021-03-18T18:51:14Z,14045,1,161,
OCESN-1209988,000073,OCESN14045F285730:2021-03-16T18:50:15Z,14045,1,162,
OCESN-1209988,000074,OCESN14047F160791:2021-03-17T18:49:45Z,14047,1,163,
OCESN-1209988,000075,OCESN14047F263611:2021-03-17T18:49:45Z,14047,1,164,
OCESN-1209988,000076,OCESN14047F273118:2021-03-15T18:51:43Z,14047,1,165,
OCESN-1209988,000077,OCESN14047F274970:2021-03-18T18:51:14Z,14047,1,166,
OCESN-1209988,000078,OCESN14047F278487:2021-03-18T18:51:14Z,14047,1,167,
OCESN-1209988,000058,OCESN14048F191896:2021-03-14T18:50:44Z,14048,0,168,
OCESN-1209988,000079,OCESN14048F289496:2021-03-17T18:49:45Z,14048,0,169,
OCESN-1209988,000080,OCESN14048F292479:2021-03-18T18:51:14Z,14048,0,170,
OCESN-1209988,000002,OCESN14048F292587:2021-03-18T18:51:14Z,14048,0,171,
